time,C,D,G,L,Y
0,0.847573040556343,0.0029668117895151904,0.0009301836171994654,0.1458556786309116,0.0026742854060308264
1,0.826419802800583,0.028994323051506215,0.0006500065804173853,0.12423355311181222,0.019702314455681318
2,0.5616628818014732,0.2402695333896836,0.00038702961594703865,0.09290146914197397,0.10477908605092207
3,0.1894213349850346,0.6861091959481475,0.010671929190922103,0.03135798709722763,0.08243955277866814
4,0.09599072973813767,0.6942624448189267,0.1278904625831436,0.015890903022195462,0.06596545983759666
5,0.0655661384701455,0.6044385144054976,0.22398665165224785,0.004065074933448532,0.10194362053866045
6,0.053760210327703284,0.4404150568761498,0.26401653698559807,0.0042588885781613675,0.23754930723238737
7,0.2485569271600295,0.29874992382531723,0.3141739643488378,0.005229034872899715,0.13329014979291576
8,0.47667317784507013,0.16027130498115616,0.20290509856163114,0.02165310994773723,0.1384973086644054
9,0.7804690505855469,0.06189739586501039,0.09704933500469316,0.006119583751602717,0.05446463479314684
10,0.8249303201540349,0.028042510117565558,0.06541854872028185,0.03715288679180597,0.044455734216311556
